Index,Time_ms,Operations
482,0,001100,30
483,0,000800,28
484,0,000500,30
485,0,000500,30
486,0,000600,30
487,0,000600,28
488,0,000600,28
489,0,000600,30
490,0,000600,30
491,0,000600,28
492,0,000600,30
493,0,000600,30
494,0,000600,30
495,0,000500,30
496,0,000500,28
497,0,000500,28
498,0,000500,28
499,0,000500,30
500,0,000600,30
501,0,000600,28
502,0,000400,28
503,0,000500,28
504,0,000800,30
505,0,000600,30
506,0,000500,30
507,0,000600,30
508,0,000600,28
509,0,000500,28
510,0,000500,30
511,0,000500,30
512,0,000500,30
513,0,000500,28
514,0,000500,28
515,0,000600,30
516,0,000600,28
517,0,000600,30
518,0,000500,30
519,0,000500,28
520,0,000600,30
521,0,000600,28
522,0,000600,30
523,0,000500,28
524,0,000600,28
525,0,000700,30
526,0,000500,30
527,0,000600,30
528,0,000500,28
529,0,001100,28
530,0,000500,28
531,0,000500,28
532,0,000500,30
533,0,000500,28
534,0,000400,28
535,0,000500,28
536,0,000600,30
537,0,000500,28
538,0,000600,28
539,0,000500,30
540,0,000500,30
541,0,000600,30
542,0,000500,30
543,0,000500,30
544,0,000700,30
545,0,000500,30
546,0,000500,28
547,0,000500,30
548,0,000500,28
549,0,000500,30
550,0,000700,30
551,0,000500,28
552,0,000600,28
553,0,000500,28
554,0,000500,30
555,0,000500,28
556,0,000500,28
557,0,000500,28
558,0,000600,30
559,0,000600,28
560,0,000700,30
561,0,000500,30
562,0,000700,30
563,0,000500,30
564,0,000500,28
565,0,000600,28
566,0,000600,30
567,0,000600,30
568,0,000600,28
569,0,000600,30
570,0,000600,30
571,0,001400,28
572,0,000600,28
573,0,000700,30
574,0,000600,30
575,0,000500,28
576,0,000500,28
577,0,000500,28
578,0,000500,28
579,0,000600,28
580,0,000500,28
581,0,000600,28
582,0,000900,30
583,0,000700,28
584,0,000500,28
585,0,000400,28
586,0,000500,28
587,0,000500,28
588,0,000700,30
589,0,000500,30
590,0,000500,28
591,0,000600,30
592,0,000500,28
593,0,000500,30
594,0,000500,30
595,0,000600,30
596,0,000600,30
597,0,000500,28
598,0,000500,28
599,0,001000,30
600,0,000500,30
601,0,000500,28
602,0,000500,28
603,0,000500,28
604,0,000500,28
605,0,000600,30
606,0,000500,28
607,0,000500,30
608,0,000500,28
609,0,000600,28
610,0,000500,28
611,0,000500,28
612,0,000500,30
613,0,000400,28
614,0,000500,30
615,0,000800,30
616,0,000500,28
617,0,000500,28
618,0,000700,30
619,0,000600,28
620,0,000500,28
621,0,000400,28
622,0,000600,30
623,0,000600,28
624,0,000500,28
625,0,000600,30
626,0,000600,28
627,0,000500,30
628,0,000500,28
629,0,000600,30
630,0,000500,28
631,0,000600,30
632,0,000600,30
633,0,000600,28
634,0,000600,30
635,0,000500,30
636,0,000700,30
637,0,000500,30
638,0,000500,30
639,0,000500,28
640,0,000500,28
641,0,000600,28
642,0,000500,28
643,0,012400,30
644,0,000700,28
645,0,000600,28
646,0,000500,30
647,0,000400,30
648,0,000400,28
649,0,000500,28
650,0,000500,30
651,0,000400,28
652,0,000400,28
653,0,000400,30
654,0,000500,28
655,0,000500,28
656,0,000400,28
657,0,000500,28
658,0,000500,30
659,0,000400,28
660,0,000400,28
661,0,000500,28
662,0,000400,28
663,0,000400,28
664,0,000400,28
665,0,000600,30
666,0,000400,28
667,0,000500,28
668,0,000500,30
669,0,000500,28
670,0,000400,28
671,0,001000,30
672,0,000400,28
673,0,000400,30
674,0,000500,28
675,0,000500,30
676,0,000500,28
677,0,000500,30
678,0,000400,30
679,0,000400,28
680,0,000400,28
681,0,000400,30
682,0,000400,30
683,0,000400,30
684,0,000400,28
685,0,000400,28
686,0,000700,28
687,0,000400,30
688,0,000500,28
689,0,000400,30
690,0,000400,28
691,0,000500,30
692,0,000400,30
693,0,000300,28
694,0,000400,30
695,0,000500,28
696,0,000400,28
697,0,000300,28
698,0,000400,28
699,0,000400,30
700,0,000400,30
701,0,000400,30
702,0,000500,28
703,0,000400,30
704,0,000400,30
705,0,000400,28
706,0,000400,30
707,0,000400,30
708,0,000400,28
709,0,000400,30
710,0,000400,28
711,0,000400,28
712,0,000600,30
713,0,000400,28
714,0,000400,30
715,0,000500,30
716,0,000400,28
717,0,000400,28
718,0,000600,30
719,0,000400,28
720,0,000500,30
721,0,000400,30
722,0,000500,30
723,0,000400,30
724,0,000400,30
725,0,000500,30
726,0,000400,28
727,0,000600,28
728,0,000600,28
729,0,000400,28
730,0,000500,28
731,0,000500,30
732,0,000400,30
733,0,000400,30
734,0,000500,30
735,0,000400,30
736,0,000500,28
737,0,000500,28
738,0,000500,30
739,0,000500,28
740,0,000400,30
741,0,000600,28
742,0,000600,30
743,0,000400,30
744,0,000400,28
745,0,000600,30
746,0,000400,28
747,0,000400,30
748,0,000400,30
749,0,000400,28
750,0,000400,28
751,0,000400,28
752,0,000400,30
753,0,000400,30
754,0,000400,28
755,0,000500,30
756,0,000500,28
757,0,000800,28
758,0,000500,28
759,0,000500,28
760,0,000400,28
761,0,000400,30
762,0,000400,30
763,0,000400,28
764,0,000500,30
765,0,000500,30
766,0,000400,28
767,0,000400,30
768,0,000500,30
769,0,000500,28
770,0,000500,30
771,0,000600,30
772,0,000400,28
773,0,000500,30
774,0,000400,28
775,0,000400,30
776,0,000500,30
777,0,000400,30
778,0,000400,28
779,0,000300,28
780,0,000400,30
781,0,000400,28
782,0,000400,30
783,0,000400,28
784,0,000500,30
785,0,000400,30
786,0,000400,28
787,0,000400,30
788,0,000300,28
789,0,000400,28
790,0,000400,30
791,0,000400,28
792,0,000400,30
793,0,000400,30
794,0,000400,30
795,0,000500,28
796,0,000500,28
797,0,000600,30
798,0,000500,30
799,0,000400,30
800,0,000400,30
801,0,000400,30
802,0,000500,30
803,0,000400,30
804,0,000300,28
805,0,000400,28
806,0,000400,28
807,0,000500,30
808,0,000500,30
809,0,000400,30
810,0,000400,28
811,0,000900,30
812,0,000500,30
813,0,000400,28
814,0,000400,30
815,0,000400,30
816,0,000400,28
817,0,000500,28
818,0,000400,30
819,0,000300,28
820,0,000400,30
821,0,000400,30
822,0,000400,28
823,0,000500,30
824,0,000600,30
825,0,000400,30
826,0,000400,28
827,0,000700,30
828,0,000500,28
829,0,000500,28
830,0,000400,28
831,0,000400,30
832,0,000400,28
833,0,000500,28
834,0,000400,30
835,0,000400,28
836,0,000400,30
837,0,000400,30
838,0,000400,28
839,0,000500,28
840,0,000500,28
841,0,000400,28
842,0,000400,30
843,0,000400,30
844,0,000500,30
